Lambda;Total response time
0,0;0,262211
0,5;0,274216
1,0;0,287692
1,5;0,302962
2,0;0,320457
2,5;0,340765
3,0;0,364711
3,5;0,393497
4,0;0,428946
4,5;0,473964
5,0;0,533510
5,5;0,616803
6,0;0,743204
6,5;0,961565
7,0;1,441264
7,5;3,445569
