Lambda;Node1 response time;Node2 response time;Node3 response time;Node4 response time;Node5 response time;Node6 response time;Node7 response time;Total response time
6,900000;0,003063;0,001230;0,003863;0,020090;0,105263;0,070793;1,099476;1,303779
7,000000;0,003064;0,001230;0,003864;0,020130;0,106383;0,071298;1,235294;1,441264
7,100000;0,003065;0,001230;0,003866;0,020171;0,107527;0,071810;1,409396;1,617065
7,200000;0,003066;0,001230;0,003867;0,020212;0,108696;0,072329;1,640625;1,850025
7,300000;0,003067;0,001230;0,003869;0,020253;0,109890;0,072856;1,962617;2,173782
7,400000;0,003068;0,001231;0,003870;0,020294;0,111111;0,073391;2,441860;2,654825
7,500000;0,003069;0,001231;0,003872;0,020335;0,112360;0,073934;3,230769;3,445569
7,600000;0,003070;0,001231;0,003873;0,020376;0,113636;0,074484;4,772727;4,989398
7,700000;0,003071;0,001231;0,003875;0,020418;0,114943;0,075043;9,130435;9,349015
7,800000;0,003072;0,001231;0,003876;0,020460;0,116279;0,075611;105,000000;105,220529
